puzzle_size,nAnts_alg4,threads_alg4,numcolonies_alg4,numacs_alg4,q0_alg4,rho_alg4,bve_alg4,timeout_alg4,success_rate_alg4,time_mean_alg4,time_std_alg4,iter_mean_alg4,with_comm_alg4,without_comm_alg4,cp_initial_mean_alg4,cp_ant_mean_alg4,cp_total_mean_alg4,acs_time_mean_alg4,dcm_aco_time_mean_alg4,coop_game_mean_alg4,pheromone_fusion_mean_alg4,public_path_mean_alg4,communication_time_mean_alg4,cp_percentage_alg4,acs_time_percentage_alg4,dcm_aco_time_percentage_alg4,coop_game_percentage_alg4,pheromone_fusion_percentage_alg4,public_path_percentage_alg4,communication_time_percentage_alg4
inst25x25_45_67,3,3,3,2,0.3,0.9,0.005,120.0,68.00,32.390063,31.632731,1230.19,67,1,0.006157,11.075217,11.081374,N/A,20.849242,0.025466,0.000020,0.038514,0.459446,34.21,N/A,64.37,0.08,0.00,0.12,1.42
inst25x25_45_69,3,3,3,2,0.3,0.9,0.005,120.0,84.00,33.055192,30.180553,1391.95,79,5,0.006135,11.170442,11.176578,N/A,21.390619,0.028832,0.000026,0.042245,0.487995,33.81,N/A,64.71,0.09,0.00,0.13,1.48
inst25x25_45_71,3,3,3,2,0.3,0.9,0.005,120.0,91.00,22.532068,24.372563,891.21,88,3,0.005711,9.439103,9.444814,N/A,12.846722,0.017147,0.000018,0.024748,0.240531,41.92,N/A,57.02,0.08,0.00,0.11,1.07
inst25x25_45_72,3,3,3,2,0.3,0.9,0.005,120.0,26.00,25.609053,24.931232,881.96,25,1,0.006322,11.795925,11.802247,N/A,13.444988,0.021492,0.000019,0.033139,0.361819,46.09,N/A,52.50,0.08,0.00,0.13,1.41
inst25x25_45_73,3,3,3,2,0.3,0.9,0.005,120.0,100.00,10.613962,9.849631,395.76,88,12,0.005614,6.577133,6.582747,N/A,3.793769,0.009783,0.000012,0.015211,0.237446,62.02,N/A,35.74,0.09,0.00,0.14,2.24
inst25x25_45_75,3,3,3,2,0.3,0.9,0.005,120.0,100.00,17.887742,17.647205,619.92,94,6,0.005519,9.302567,9.308086,N/A,8.151174,0.016101,0.000023,0.024720,0.428481,52.04,N/A,45.57,0.09,0.00,0.14,2.40
inst25x25_45_76,3,3,3,2,0.3,0.9,0.005,120.0,96.00,15.427435,17.373545,546.81,86,10,0.005772,7.927851,7.933623,N/A,7.094721,0.014264,0.000010,0.023239,0.399091,51.43,N/A,45.99,0.09,0.00,0.15,2.59
inst25x25_45_77,3,3,3,2,0.3,0.9,0.005,120.0,12.00,34.759171,38.448582,1143.75,12,0,0.007079,12.366635,12.373714,N/A,21.789110,0.029311,0.000022,0.042105,0.596347,35.60,N/A,62.69,0.08,0.00,0.12,1.72
inst25x25_45_82,3,3,3,2,0.3,0.9,0.005,120.0,44.00,27.530723,25.803474,1112.55,44,0,0.006416,10.856105,10.862520,N/A,16.312322,0.023598,0.000018,0.031789,0.355882,39.46,N/A,59.25,0.09,0.00,0.12,1.29
inst25x25_45_83,3,3,3,2,0.3,0.9,0.005,120.0,100.00,10.324351,9.976693,392.18,85,15,0.006486,6.195743,6.202228,N/A,4.011354,0.008242,0.000014,0.011488,0.110768,60.07,N/A,38.85,0.08,0.00,0.11,1.07
