puzzle_size,nAnts_alg4,threads_alg4,numcolonies_alg4,numacs_alg4,q0_alg4,rho_alg4,bve_alg4,timeout_alg4,success_rate_alg4,time_mean_alg4,time_std_alg4,iter_mean_alg4,with_comm_alg4,without_comm_alg4,cp_initial_mean_alg4,cp_ant_mean_alg4,cp_total_mean_alg4,acs_time_mean_alg4,dcm_aco_time_mean_alg4,coop_game_mean_alg4,pheromone_fusion_mean_alg4,public_path_mean_alg4,communication_time_mean_alg4,cp_percentage_alg4,acs_time_percentage_alg4,dcm_aco_time_percentage_alg4,coop_game_percentage_alg4,pheromone_fusion_percentage_alg4,public_path_percentage_alg4,communication_time_percentage_alg4
inst25x25_45_84,3,3,3,2,0.5,0.9,0.005,120.0,100.00,8.622452,6.407775,337.85,87,13,0.006198,5.638729,5.644926,N/A,2.865205,0.007256,0.000021,0.010829,0.112320,65.47,N/A,33.23,0.08,0.00,0.13,1.30
inst25x25_45_85,3,3,3,2,0.5,0.9,0.005,120.0,96.00,23.377102,23.188065,1124.96,92,4,0.004727,9.162721,9.167448,N/A,14.062618,0.018801,0.000026,0.026870,0.147036,39.22,N/A,60.16,0.08,0.00,0.11,0.63
inst25x25_45_86,3,3,3,2,0.5,0.9,0.005,120.0,81.00,26.732181,28.354879,1235.80,79,2,0.004628,9.533781,9.538409,N/A,17.053623,0.020266,0.000021,0.031431,0.140148,35.68,N/A,63.79,0.08,0.00,0.12,0.52
inst25x25_45_87,3,3,3,2,0.5,0.9,0.005,120.0,100.00,6.790881,4.550232,323.70,88,12,0.004475,4.508720,4.513194,N/A,2.244960,0.005313,0.000005,0.007411,0.032727,66.46,N/A,33.06,0.08,0.00,0.11,0.48
inst25x25_45_88,3,3,3,2,0.5,0.9,0.005,120.0,100.00,5.206617,4.713704,262.16,82,18,0.004545,3.524358,3.528903,N/A,1.646512,0.004309,0.000006,0.006336,0.031203,67.78,N/A,31.62,0.08,0.00,0.12,0.60
inst25x25_45_89,3,3,3,2,0.5,0.9,0.005,120.0,79.00,35.064984,29.347107,1279.61,78,1,0.006288,12.083335,12.089623,N/A,22.532650,0.027756,0.000029,0.040987,0.442712,34.48,N/A,64.26,0.08,0.00,0.12,1.26
inst25x25_45_90,3,3,3,2,0.5,0.9,0.005,120.0,96.00,23.566480,21.195599,834.35,91,5,0.006739,10.515750,10.522490,N/A,12.748611,0.018700,0.000045,0.029396,0.295378,44.65,N/A,54.10,0.08,0.00,0.12,1.25
inst25x25_45_92,3,3,3,2,0.5,0.9,0.005,120.0,100.00,6.004036,5.456243,231.39,68,32,0.006826,4.086685,4.093510,N/A,1.848451,0.005156,0.000005,0.007879,0.062075,68.18,N/A,30.79,0.09,0.00,0.13,1.03
inst25x25_45_93,3,3,3,2,0.5,0.9,0.005,120.0,67.00,32.850297,25.323936,1344.37,64,3,0.006016,11.945090,11.951106,N/A,20.580486,0.027005,0.000025,0.038787,0.318705,36.38,N/A,62.65,0.08,0.00,0.12,0.97
inst25x25_45_95,3,3,3,2,0.5,0.9,0.005,120.0,98.00,22.806417,24.967269,945.43,94,4,0.005725,9.286743,9.292467,N/A,13.149383,0.019061,0.000042,0.026951,0.364566,40.74,N/A,57.66,0.08,0.00,0.12,1.60
