"Alg 0 = CP-ACS, Alg 3 = CP-DCM-ACO, Alg 4 = MT-CP-DCM-ACO",,,,,,,,,,,,
,,,,,,,,,,,,
Best ,,,,,,,,,,,,
,,,,,,,,,,,,
Instances,Solution Rate,,,Average Time,,,Standard Deviation,,,Average Iteration,,
,0,3,4,0,3,4,0,3,4,0,3,4
inst25x25_40_10,99,100,100,3.382243,3.381413,1.986067,6.210099,2.577154,1.193814,81,123.66,61.94
inst25x25_40_30,96,100,100,6.014875,6.31673,3.089376,8.544345,4.519245,1.846924,140.95,226.71,100.69
inst25x25_40_50,96,100,100,7.67851,8.168423,3.859041,9.206712,5.729993,1.96488,180.09,296.15,127.38
inst25x25_40_57,97,100,100,4.357386,8.198161,3.094936,4.683007,6.973081,1.995576,104.8,221.94,100.52
inst25x25_40_62,92,100,100,9.802543,10.997398,4.353465,19.625461,12.308338,2.772335,228.77,293.92,147.68
inst25x25_40_79,93,100,100,8.062691,6.554738,3.109953,13.05574,7.656213,1.985949,187.19,228.37,103.11
inst25x25_40_80,99,100,100,3.214704,4.682812,2.061977,5.634755,3.787803,1.120139,77.89,155.28,68.6
inst25x25_40_89,96,100,100,3.684984,4.804368,2.146666,5.452907,3.233955,1.204786,92.35,150.15,74.13
inst25x25_40_9,97,100,100,6.917894,6.153598,3.478186,16.209625,4.95967,2.37335,173.94,233.77,114.89
inst25x25_40_99,97,100,100,5.425704,4.958683,2.513599,16.567532,4.511746,1.657896,128.64,161.11,85.77
inst25x25_45_1,37,59,99,19.547435,25.897316,14.519877,21.964074,27.92211,16.104477,624.08,1197.58,675
inst25x25_45_11,84,99,100,10.310215,6.926455,2.800627,19.044918,8.585425,2.762057,338.83,330.2,136.41
inst25x25_45_14,93,100,100,4.966254,2.948148,0.963012,11.362122,5.752449,0.631815,173.97,146.38,45.69
inst25x25_45_15,67,92,100,15.083443,11.410258,5.269596,20.248811,16.09442,4.440816,549.79,577.53,247.26
inst25x25_45_16,80,99,100,9.236144,6.607621,2.235777,16.574379,8.680036,1.581174,304.31,315.26,103.7
inst25x25_45_17,84,100,100,11.934984,7.144869,2.637418,20.645416,7.469307,1.975974,369.88,319.21,118.94
inst25x25_45_18,92,100,100,5.785995,4.383665,1.388037,11.912679,5.381312,0.991365,183.51,201.39,64.27
inst25x25_45_19,75,97,100,13.479756,16.287175,4.692091,19.830581,17.122233,3.74238,463.05,690.08,226.49
inst25x25_45_2,68,96,100,14.089071,10.482677,3.544408,20.960863,16.475854,2.802289,467.31,476.6,167.57
inst25x25_45_21,66,94,100,10.868178,14.317891,5.640377,16.769604,18.152829,4.104115,358.74,609.43,249.53
inst25x25_45_23,80,99,100,10.494409,11.409433,3.112203,17.121484,16.027349,2.095172,340.9,456.73,136.53
