puzzle_size,nAnts_alg3,threads_alg3,numcolonies_alg3,numacs_alg3,q0_alg3,rho_alg3,bve_alg3,timeout_alg3,success_rate_alg3,time_mean_alg3,time_std_alg3,iter_mean_alg3,with_comm_alg3,without_comm_alg3,cp_initial_mean_alg3,cp_ant_mean_alg3,cp_total_mean_alg3,acs_time_mean_alg3,dcm_aco_time_mean_alg3,coop_game_mean_alg3,pheromone_fusion_mean_alg3,public_path_mean_alg3,communication_time_mean_alg3,cp_percentage_alg3,acs_time_percentage_alg3,dcm_aco_time_percentage_alg3,coop_game_percentage_alg3,pheromone_fusion_percentage_alg3,public_path_percentage_alg3,communication_time_percentage_alg3
inst25x25_40_10,3,N/A,3,2,0.9,0.9,0.005,120,100,3.381413,2.577154,123.66,N/A,N/A,0.004242,2.469551,2.473793,N/A,0.907619,0.02414,0.000997,0.00111,N/A,73.16,N/A,26.84,0.71,0.03,0.03,N/A
inst25x25_40_30,3,N/A,3,2,0.9,0.9,0.005,120,100,6.31673,4.519245,226.71,N/A,N/A,0.004267,4.238368,4.242635,N/A,2.074095,0.044821,0.001002,0.002209,N/A,67.17,N/A,32.83,0.71,0.02,0.03,N/A
inst25x25_40_50,3,N/A,3,2,0.9,0.9,0.005,120,100,8.168423,5.729993,296.15,N/A,N/A,0.00433,5.14623,5.15056,N/A,3.017863,0.058574,0.000993,0.002633,N/A,63.05,N/A,36.95,0.72,0.01,0.03,N/A
inst25x25_40_57,3,N/A,3,2,0.9,0.9,0.005,120,100,8.198161,6.973081,221.94,N/A,N/A,0.005661,5.576784,5.582445,N/A,2.615716,0.058742,0.001209,0.002697,N/A,68.09,N/A,31.91,0.72,0.01,0.03,N/A
inst25x25_40_62,3,N/A,3,2,0.9,0.9,0.005,120,100,10.997398,12.308338,293.92,N/A,N/A,0.006167,6.647159,6.653326,N/A,4.344073,0.083004,0.00138,0.003894,N/A,60.5,N/A,39.5,0.75,0.01,0.04,N/A
inst25x25_40_79,3,N/A,3,2,0.9,0.9,0.005,120,100,6.554738,7.656213,228.37,N/A,N/A,0.004282,4.193406,4.197688,N/A,2.35705,0.048032,0.001061,0.001994,N/A,64.04,N/A,35.96,0.73,0.02,0.03,N/A
inst25x25_40_80,3,N/A,3,2,0.9,0.9,0.005,120,100,4.682812,3.787803,155.28,N/A,N/A,0.004696,3.291525,3.296221,N/A,1.386591,0.033818,0.001091,0.001565,N/A,70.39,N/A,29.61,0.72,0.02,0.03,N/A
inst25x25_40_89,3,N/A,3,2,0.9,0.9,0.005,120,100,4.804368,3.233955,150.15,N/A,N/A,0.005496,3.456297,3.461793,N/A,1.342574,0.036051,0.001233,0.001947,N/A,72.06,N/A,27.94,0.75,0.03,0.04,N/A
inst25x25_40_9,3,N/A,3,2,0.9,0.9,0.005,120,100,6.153598,4.95967,233.77,N/A,N/A,0.004197,4.022733,4.02693,N/A,2.126668,0.045274,0.000951,0.002251,N/A,65.44,N/A,34.56,0.74,0.02,0.04,N/A
inst25x25_40_99,3,N/A,3,2,0.9,0.9,0.005,120,100,4.958683,4.511746,161.11,N/A,N/A,0.005098,3.444449,3.449547,N/A,1.509135,0.03647,0.00119,0.001944,N/A,69.57,N/A,30.43,0.74,0.02,0.04,N/A
inst25x25_45_1,3,N/A,3,2,0.9,0.9,0.005,120,59,25.897316,27.92211,1197.58,N/A,N/A,0.005255,9.373042,9.378297,N/A,16.519019,0.270231,0.001265,0.011977,N/A,36.21,N/A,63.79,1.04,0,0.05,N/A
inst25x25_45_11,3,N/A,3,2,0.9,0.9,0.005,120,99,6.926455,8.585425,330.2,N/A,N/A,0.005167,4.166631,4.171798,N/A,2.754658,0.074229,0.001232,0.003377,N/A,60.23,N/A,39.77,1.07,0.02,0.05,N/A
inst25x25_45_14,3,N/A,3,2,0.9,0.9,0.005,120,100,2.948148,5.752449,146.38,N/A,N/A,0.004897,1.865324,1.870221,N/A,1.077926,0.029914,0.001104,0.001208,N/A,63.44,N/A,36.56,1.01,0.04,0.04,N/A
inst25x25_45_15,3,N/A,3,2,0.9,0.9,0.005,120,92,11.410258,16.09442,577.53,N/A,N/A,0.004924,5.415563,5.420488,N/A,5.989771,0.116625,0.001138,0.005099,N/A,47.51,N/A,52.49,1.02,0.01,0.04,N/A
inst25x25_45_16,3,N/A,3,2,0.9,0.9,0.005,120,99,6.607621,8.680036,315.26,N/A,N/A,0.004879,3.95334,3.958218,N/A,2.649402,0.067648,0.001119,0.002638,N/A,59.9,N/A,40.1,1.02,0.02,0.04,N/A
inst25x25_45_17,3,N/A,3,2,0.9,0.9,0.005,120,100,7.144869,7.469307,319.21,N/A,N/A,0.004985,4.544247,4.549232,N/A,2.595637,0.07158,0.001141,0.003192,N/A,63.67,N/A,36.33,1,0.02,0.04,N/A
inst25x25_45_18,3,N/A,3,2,0.9,0.9,0.005,120,100,4.383665,5.381312,201.39,N/A,N/A,0.005145,2.914896,2.92004,N/A,1.463624,0.044443,0.001123,0.002582,N/A,66.61,N/A,33.39,1.01,0.03,0.06,N/A
inst25x25_45_19,3,N/A,3,2,0.9,0.9,0.005,120,97,16.287175,17.122233,690.08,N/A,N/A,0.005797,7.989594,7.995391,N/A,8.291784,0.179236,0.001402,0.00883,N/A,49.09,N/A,50.91,1.1,0.01,0.05,N/A
inst25x25_45_2,3,N/A,3,2,0.9,0.9,0.005,120,96,10.482677,16.475854,476.6,N/A,N/A,0.005114,5.065545,5.070659,N/A,5.412018,0.112071,0.001185,0.004857,N/A,48.37,N/A,51.63,1.07,0.01,0.05,N/A
inst25x25_45_21,3,N/A,3,2,0.9,0.9,0.005,120,94,14.317891,18.152829,609.43,N/A,N/A,0.005185,6.946661,6.951846,N/A,7.366046,0.141528,0.001266,0.006926,N/A,48.55,N/A,51.45,0.99,0.01,0.05,N/A
inst25x25_45_23,3,N/A,3,2,0.9,0.9,0.005,120,99,11.409433,16.027349,456.73,N/A,N/A,0.005581,5.833225,5.838807,N/A,5.570627,0.110843,0.001394,0.00548,N/A,51.18,N/A,48.82,0.97,0.01,0.05,N/A
inst25x25_45_24,3,N/A,3,2,0.9,0.9,0.005,120,87,28.430692,26.023485,1367.91,N/A,N/A,0.005284,10.088464,10.093748,N/A,18.336944,0.296356,0.001265,0.013784,N/A,35.5,N/A,64.5,1.04,0,0.05,N/A
inst25x25_45_26,3,N/A,3,2,0.9,0.9,0.005,120,93,19.037218,21.063066,504.09,N/A,N/A,0.010013,10.545053,10.555066,N/A,8.482153,0.209353,0.002384,0.010275,N/A,55.44,N/A,44.56,1.1,0.01,0.05,N/A
inst25x25_45_29,3,N/A,3,2,0.9,0.9,0.005,120,97,19.285105,21.518157,416.02,N/A,N/A,0.011698,10.620849,10.632547,N/A,8.652558,0.200354,0.002592,0.009651,N/A,55.13,N/A,44.87,1.04,0.01,0.05,N/A
inst25x25_45_3,3,N/A,3,2,0.9,0.9,0.005,120,99,13.373693,18.312735,553.54,N/A,N/A,0.005067,6.444697,6.449763,N/A,6.923929,0.131122,0.001233,0.005519,N/A,48.23,N/A,51.77,0.98,0.01,0.04,N/A
