puzzle_size,nAnts_alg3,threads_alg3,numcolonies_alg3,numacs_alg3,q0_alg3,rho_alg3,bve_alg3,timeout_alg3,success_rate_alg3,time_mean_alg3,time_std_alg3,iter_mean_alg3,with_comm_alg3,without_comm_alg3,cp_initial_mean_alg3,cp_ant_mean_alg3,cp_total_mean_alg3,acs_time_mean_alg3,dcm_aco_time_mean_alg3,coop_game_mean_alg3,pheromone_fusion_mean_alg3,public_path_mean_alg3,communication_time_mean_alg3,cp_percentage_alg3,acs_time_percentage_alg3,dcm_aco_time_percentage_alg3,coop_game_percentage_alg3,pheromone_fusion_percentage_alg3,public_path_percentage_alg3,communication_time_percentage_alg3
inst25x25_45_67,4,N/A,4,3,0.9,0.9,0.005,120.0,99.00,11.059424,15.230190,251.26,N/A,N/A,0.005906,5.694512,5.700417,N/A,5.359007,0.092118,0.001870,0.003679,N/A,51.54,N/A,48.46,0.83,0.02,0.03,N/A
inst25x25_45_69,4,N/A,4,3,0.9,0.9,0.005,120.0,96.00,9.581211,14.841212,224.51,N/A,N/A,0.006313,5.071087,5.077400,N/A,4.503811,0.088332,0.001958,0.003520,N/A,52.99,N/A,47.01,0.92,0.02,0.04,N/A
inst25x25_45_71,4,N/A,4,3,0.9,0.9,0.005,120.0,100.00,6.474781,6.274654,139.29,N/A,N/A,0.006246,4.309565,4.315810,N/A,2.158970,0.052671,0.001855,0.002233,N/A,66.66,N/A,33.34,0.81,0.03,0.03,N/A
inst25x25_45_72,4,N/A,4,3,0.9,0.9,0.005,120.0,96.00,20.423647,20.281757,432.10,N/A,N/A,0.006219,9.583370,9.589588,N/A,10.834059,0.176149,0.002296,0.007499,N/A,46.95,N/A,53.05,0.86,0.01,0.04,N/A
inst25x25_45_73,4,N/A,4,3,0.9,0.9,0.005,120.0,100.00,3.366017,2.866621,85.50,N/A,N/A,0.005571,2.436410,2.441981,N/A,0.924036,0.028380,0.001696,0.001175,N/A,72.55,N/A,27.45,0.84,0.05,0.03,N/A
inst25x25_45_75,4,N/A,4,3,0.9,0.9,0.005,120.0,100.00,5.363281,5.308009,130.27,N/A,N/A,0.005589,3.569892,3.575481,N/A,1.787800,0.043814,0.001608,0.001920,N/A,66.67,N/A,33.33,0.82,0.03,0.04,N/A
inst25x25_45_76,4,N/A,4,3,0.9,0.9,0.005,120.0,100.00,4.584841,3.721901,102.23,N/A,N/A,0.006609,3.275974,3.282583,N/A,1.302257,0.040364,0.002021,0.001833,N/A,71.60,N/A,28.40,0.88,0.04,0.04,N/A
inst25x25_45_77,4,N/A,4,3,0.9,0.9,0.005,120.0,83.00,36.178330,29.293859,580.00,N/A,N/A,0.007648,15.268752,15.276400,N/A,20.901930,0.325273,0.003106,0.013975,N/A,42.23,N/A,57.77,0.90,0.01,0.04,N/A
inst25x25_45_82,4,N/A,4,3,0.9,0.9,0.005,120.0,95.00,28.008922,24.061481,408.08,N/A,N/A,0.009050,14.938939,14.947989,N/A,13.060933,0.259400,0.003060,0.010829,N/A,53.37,N/A,46.63,0.93,0.01,0.04,N/A
inst25x25_45_83,4,N/A,4,3,0.9,0.9,0.005,120.0,100.00,7.321767,7.525750,104.12,N/A,N/A,0.009834,5.109597,5.119431,N/A,2.202336,0.061321,0.002903,0.002432,N/A,69.92,N/A,30.08,0.84,0.04,0.03,N/A
inst25x25_45_84,4,N/A,4,3,0.9,0.9,0.005,120.0,99.00,11.520718,15.309950,167.28,N/A,N/A,0.009886,7.180375,7.190261,N/A,4.330457,0.103234,0.002850,0.004180,N/A,62.41,N/A,37.59,0.90,0.02,0.04,N/A
inst25x25_45_85,4,N/A,4,3,0.9,0.9,0.005,120.0,100.00,17.082715,18.273126,269.19,N/A,N/A,0.008215,9.929393,9.937608,N/A,7.145107,0.152216,0.002968,0.006118,N/A,58.17,N/A,41.83,0.89,0.02,0.04,N/A
inst25x25_45_86,4,N/A,4,3,0.9,0.9,0.005,120.0,100.00,14.900781,11.285323,265.83,N/A,N/A,0.007334,8.812021,8.819355,N/A,6.081426,0.128867,0.002731,0.006162,N/A,59.19,N/A,40.81,0.86,0.02,0.04,N/A
inst25x25_45_87,4,N/A,4,3,0.9,0.9,0.005,120.0,100.00,7.942478,11.350758,149.49,N/A,N/A,0.006827,4.649460,4.656287,N/A,3.286191,0.070685,0.002492,0.003340,N/A,58.63,N/A,41.37,0.89,0.03,0.04,N/A
