puzzle_size,nAnts_alg4,threads_alg4,numcolonies_alg4,numacs_alg4,q0_alg4,rho_alg4,bve_alg4,timeout_alg4,success_rate_alg4,time_mean_alg4,time_std_alg4,iter_mean_alg4,with_comm_alg4,without_comm_alg4,cp_initial_mean_alg4,cp_ant_mean_alg4,cp_total_mean_alg4,acs_time_mean_alg4,dcm_aco_time_mean_alg4,coop_game_mean_alg4,pheromone_fusion_mean_alg4,public_path_mean_alg4,communication_time_mean_alg4,cp_percentage_alg4,acs_time_percentage_alg4,dcm_aco_time_percentage_alg4,coop_game_percentage_alg4,pheromone_fusion_percentage_alg4,public_path_percentage_alg4,communication_time_percentage_alg4
inst25x25_40_10,4,3,4,3,0.9,0.9,0.005,120.0,100.00,1.859839,0.970386,35.52,0,100,0.003937,1.434518,1.438456,N/A,0.421384,0.010480,0.001095,0.000355,0.000000,77.34,N/A,22.66,0.56,0.06,0.02,0.00
inst25x25_40_30,4,3,4,3,0.9,0.9,0.005,120.0,100.00,3.177442,1.569677,59.69,7,93,0.003898,2.370786,2.374684,N/A,0.800938,0.018086,0.001181,0.000622,0.001821,74.74,N/A,25.21,0.57,0.04,0.02,0.06
inst25x25_40_50,4,3,4,3,0.9,0.9,0.005,120.0,100.00,4.243321,2.802269,80.40,25,75,0.004004,3.053145,3.057149,N/A,1.181787,0.024642,0.001202,0.000834,0.004385,72.05,N/A,27.85,0.58,0.03,0.02,0.10
inst25x25_40_57,4,3,4,3,0.9,0.9,0.005,120.0,100.00,3.071682,1.993038,57.10,14,86,0.003971,2.274673,2.278645,N/A,0.790107,0.017263,0.001198,0.000567,0.002930,74.18,N/A,25.72,0.56,0.04,0.02,0.10
inst25x25_40_62,4,3,4,3,0.9,0.9,0.005,120.0,100.00,4.703944,2.790093,90.86,33,67,0.003968,3.366754,3.370722,N/A,1.329836,0.028090,0.001264,0.000921,0.003386,71.66,N/A,28.27,0.60,0.03,0.02,0.07
inst25x25_40_79,4,3,4,3,0.9,0.9,0.005,120.0,100.00,3.512990,1.778150,66.58,19,81,0.003946,2.595507,2.599453,N/A,0.909678,0.020258,0.001232,0.000689,0.003859,74.00,N/A,25.89,0.58,0.04,0.02,0.11
inst25x25_40_80,4,3,4,3,0.9,0.9,0.005,120.0,100.00,2.397018,1.400429,45.73,4,96,0.003913,1.815696,1.819609,N/A,0.576830,0.013642,0.001171,0.000459,0.000579,75.91,N/A,24.06,0.57,0.05,0.02,0.02
inst25x25_40_89,4,3,4,3,0.9,0.9,0.005,120.0,100.00,2.372342,1.610332,46.93,5,95,0.004052,1.788847,1.792899,N/A,0.578766,0.014043,0.001157,0.000477,0.000677,75.58,N/A,24.40,0.59,0.05,0.02,0.03
inst25x25_40_9,4,3,4,3,0.9,0.9,0.005,120.0,100.00,3.578600,2.140098,71.00,19,81,0.003920,2.634230,2.638150,N/A,0.935984,0.021305,0.001148,0.000750,0.004465,73.72,N/A,26.16,0.60,0.03,0.02,0.12
inst25x25_40_99,4,3,4,3,0.9,0.9,0.005,120.0,100.00,2.299970,1.116707,45.09,1,99,0.004015,1.759658,1.763673,N/A,0.535693,0.013367,0.001264,0.000453,0.000603,76.68,N/A,23.29,0.58,0.05,0.02,0.03
inst25x25_45_1,4,3,4,3,0.9,0.9,0.005,120.0,98.00,14.414916,19.432340,385.11,76,22,0.004452,6.345616,6.350068,N/A,7.927487,0.121628,0.001585,0.003710,0.137361,44.05,N/A,55.00,0.84,0.01,0.03,0.95
inst25x25_45_11,4,3,4,3,0.9,0.9,0.005,120.0,100.00,2.230042,1.352255,62.59,12,88,0.004425,1.670762,1.675188,N/A,0.548263,0.018967,0.001335,0.000577,0.006591,75.12,N/A,24.59,0.85,0.06,0.03,0.30
inst25x25_45_14,4,3,4,3,0.9,0.9,0.005,120.0,100.00,0.925150,0.548002,25.13,0,100,0.004418,0.692602,0.697019,N/A,0.228131,0.007107,0.001184,0.000230,0.000000,75.34,N/A,24.66,0.77,0.13,0.02,0.00
inst25x25_45_15,4,3,4,3,0.9,0.9,0.005,120.0,100.00,4.589944,3.301918,123.66,49,51,0.004527,3.200481,3.205007,N/A,1.369267,0.038503,0.001328,0.001177,0.015670,69.83,N/A,29.83,0.84,0.03,0.03,0.34
inst25x25_45_16,4,3,4,3,0.9,0.9,0.005,120.0,100.00,2.141954,1.547853,56.96,11,89,0.004453,1.596837,1.601290,N/A,0.535952,0.017174,0.001245,0.000576,0.004712,74.76,N/A,25.02,0.80,0.06,0.03,0.22
inst25x25_45_17,4,3,4,3,0.9,0.9,0.005,120.0,100.00,2.894321,2.125671,74.68,17,83,0.004422,2.135287,2.139708,N/A,0.749994,0.022947,0.001188,0.000746,0.004619,73.93,N/A,25.91,0.79,0.04,0.03,0.16
inst25x25_45_18,4,3,4,3,0.9,0.9,0.005,120.0,100.00,1.164724,0.639383,31.11,0,100,0.004452,0.881406,0.885858,N/A,0.278867,0.008941,0.001240,0.000287,0.000000,76.06,N/A,23.94,0.77,0.11,0.02,0.00
inst25x25_45_19,4,3,4,3,0.9,0.9,0.005,120.0,100.00,4.765771,4.692514,131.30,51,49,0.004662,3.176925,3.181586,N/A,1.558877,0.041092,0.001320,0.001244,0.025308,66.76,N/A,32.71,0.86,0.03,0.03,0.53
inst25x25_45_2,4,3,4,3,0.9,0.9,0.005,120.0,100.00,3.624397,2.534783,98.98,37,63,0.004516,2.603950,2.608466,N/A,1.003687,0.030430,0.001354,0.000993,0.012244,71.97,N/A,27.69,0.84,0.04,0.03,0.34
inst25x25_45_21,4,3,4,3,0.9,0.9,0.005,120.0,100.00,4.718344,4.489367,119.95,44,56,0.004405,3.187261,3.191665,N/A,1.498044,0.037252,0.001334,0.001143,0.028635,67.64,N/A,31.75,0.79,0.03,0.02,0.61
inst25x25_45_23,4,3,4,3,0.9,0.9,0.005,120.0,100.00,3.184055,2.632607,80.06,26,74,0.004405,2.299958,2.304363,N/A,0.869711,0.024613,0.001323,0.000805,0.009981,72.37,N/A,27.31,0.77,0.04,0.03,0.31
inst25x25_45_24,4,3,4,3,0.9,0.9,0.005,120.0,100.00,12.084292,8.710704,327.78,93,7,0.004565,6.816374,6.820939,N/A,5.168949,0.103762,0.001408,0.003174,0.094404,56.44,N/A,42.77,0.86,0.01,0.03,0.78
inst25x25_45_26,4,3,4,3,0.9,0.9,0.005,120.0,100.00,3.702540,2.804346,102.38,35,65,0.004498,2.636157,2.640655,N/A,1.050968,0.031750,0.001327,0.000991,0.010917,71.32,N/A,28.39,0.86,0.04,0.03,0.29
