puzzle_size,nAnts_alg4,threads_alg4,numcolonies_alg4,numacs_alg4,q0_alg4,rho_alg4,bve_alg4,timeout_alg4,success_rate_alg4,time_mean_alg4,time_std_alg4,iter_mean_alg4,with_comm_alg4,without_comm_alg4,cp_initial_mean_alg4,cp_ant_mean_alg4,cp_total_mean_alg4,acs_time_mean_alg4,dcm_aco_time_mean_alg4,coop_game_mean_alg4,pheromone_fusion_mean_alg4,public_path_mean_alg4,communication_time_mean_alg4,cp_percentage_alg4,acs_time_percentage_alg4,dcm_aco_time_percentage_alg4,coop_game_percentage_alg4,pheromone_fusion_percentage_alg4,public_path_percentage_alg4,communication_time_percentage_alg4
inst25x25_40_10,3,3,3,2,0.9,0.9,0.005,120.0,100.00,1.604296,1.149751,54.93,45,55,0.003924,1.225330,1.229254,N/A,0.370743,0.010994,0.000902,0.000458,0.004299,76.62,N/A,23.11,0.69,0.06,0.03,0.27
inst25x25_40_30,3,3,3,2,0.9,0.9,0.005,120.0,100.00,3.566169,2.433980,119.46,85,15,0.003905,2.594935,2.598841,N/A,0.955121,0.024679,0.000976,0.001051,0.012207,72.87,N/A,26.78,0.69,0.03,0.03,0.34
inst25x25_40_50,3,3,3,2,0.9,0.9,0.005,120.0,100.00,4.732905,3.060938,158.69,90,10,0.004036,3.337815,3.341851,N/A,1.370487,0.033338,0.000927,0.001438,0.020566,70.61,N/A,28.96,0.70,0.02,0.03,0.43
inst25x25_40_57,3,3,3,2,0.9,0.9,0.005,120.0,100.00,3.269703,1.734616,107.55,81,19,0.003978,2.415063,2.419041,N/A,0.841417,0.022466,0.000962,0.000895,0.009244,73.98,N/A,25.73,0.69,0.03,0.03,0.28
inst25x25_40_62,3,3,3,2,0.9,0.9,0.005,120.0,100.00,4.365407,2.623279,150.05,89,11,0.003998,3.133407,3.137405,N/A,1.212599,0.031515,0.000975,0.001359,0.015403,71.87,N/A,27.78,0.72,0.02,0.03,0.35
inst25x25_40_79,3,3,3,2,0.9,0.9,0.005,120.0,100.00,3.118308,1.733122,104.77,81,19,0.003992,2.323141,2.327134,N/A,0.782068,0.021844,0.000961,0.000909,0.009107,74.63,N/A,25.08,0.70,0.03,0.03,0.29
inst25x25_40_80,3,3,3,2,0.9,0.9,0.005,120.0,100.00,2.186204,1.297850,73.65,71,29,0.003950,1.664773,1.668723,N/A,0.513883,0.015174,0.000942,0.000642,0.003597,76.33,N/A,23.51,0.69,0.04,0.03,0.16
inst25x25_40_89,3,3,3,2,0.9,0.9,0.005,120.0,100.00,2.184583,1.453859,76.31,70,30,0.004105,1.653063,1.657168,N/A,0.522617,0.015754,0.000968,0.000655,0.004798,75.86,N/A,23.92,0.72,0.04,0.03,0.22
inst25x25_40_9,3,3,3,2,0.9,0.9,0.005,120.0,100.00,3.248807,2.087721,116.52,81,19,0.003899,2.386851,2.390750,N/A,0.849229,0.023329,0.000917,0.001016,0.008828,73.59,N/A,26.14,0.72,0.03,0.03,0.27
inst25x25_40_99,3,3,3,2,0.9,0.9,0.005,120.0,100.00,2.366139,1.500905,81.57,66,34,0.004074,1.784452,1.788526,N/A,0.570605,0.016946,0.000872,0.000758,0.007009,75.59,N/A,24.12,0.72,0.04,0.03,0.30
inst25x25_45_1,3,3,3,2,0.9,0.9,0.005,120.0,97.00,12.675626,13.845805,588.66,91,6,0.004628,6.295458,6.300086,N/A,6.229543,0.127311,0.001197,0.004620,0.145997,49.70,N/A,49.15,1.00,0.01,0.04,1.15
inst25x25_45_11,3,3,3,2,0.9,0.9,0.005,120.0,100.00,2.520939,2.296795,123.71,75,25,0.004497,1.809364,1.813861,N/A,0.682249,0.025913,0.001008,0.000957,0.024830,71.95,N/A,27.06,1.03,0.04,0.04,0.98
inst25x25_45_14,3,3,3,2,0.9,0.9,0.005,120.0,100.00,0.912062,0.659140,43.56,29,71,0.004480,0.683769,0.688249,N/A,0.221511,0.008722,0.000966,0.000320,0.002302,75.46,N/A,24.29,0.96,0.11,0.04,0.25
inst25x25_45_15,3,3,3,2,0.9,0.9,0.005,120.0,100.00,5.327293,4.950424,252.12,90,10,0.004578,3.486062,3.490640,N/A,1.794752,0.053440,0.001081,0.001954,0.041902,65.52,N/A,33.69,1.00,0.02,0.04,0.79
inst25x25_45_16,3,3,3,2,0.9,0.9,0.005,120.0,100.00,2.254617,1.932942,104.89,71,29,0.004526,1.652713,1.657238,N/A,0.586915,0.021812,0.001058,0.000811,0.010463,73.50,N/A,26.03,0.97,0.05,0.04,0.46
inst25x25_45_17,3,3,3,2,0.9,0.9,0.005,120.0,100.00,2.484280,1.982019,112.94,77,23,0.004501,1.824186,1.828687,N/A,0.641178,0.023651,0.000964,0.000968,0.014415,73.61,N/A,25.81,0.95,0.04,0.04,0.58
inst25x25_45_18,3,3,3,2,0.9,0.9,0.005,120.0,100.00,1.521856,1.047039,71.01,57,43,0.004509,1.143785,1.148295,N/A,0.364770,0.014596,0.001004,0.000589,0.008792,75.45,N/A,23.97,0.96,0.07,0.04,0.58
inst25x25_45_19,3,3,3,2,0.9,0.9,0.005,120.0,100.00,4.626401,3.594851,225.24,97,3,0.004735,3.167642,3.172376,N/A,1.415523,0.047775,0.001017,0.001869,0.038502,68.57,N/A,30.60,1.03,0.02,0.04,0.83
inst25x25_45_2,3,3,3,2,0.9,0.9,0.005,120.0,100.00,4.392760,7.228330,209.25,86,14,0.004607,2.762146,2.766753,N/A,1.584606,0.044256,0.001037,0.001699,0.041401,62.98,N/A,36.07,1.01,0.02,0.04,0.94
inst25x25_45_21,3,3,3,2,0.9,0.9,0.005,120.0,100.00,5.540128,3.748233,247.64,91,9,0.004533,3.776506,3.781038,N/A,1.714771,0.052611,0.001118,0.001958,0.044320,68.25,N/A,30.95,0.95,0.02,0.04,0.80
inst25x25_45_23,3,3,3,2,0.9,0.9,0.005,120.0,100.00,3.334214,2.431823,147.31,89,11,0.004529,2.407481,2.412010,N/A,0.899742,0.031086,0.001069,0.001278,0.022462,72.34,N/A,26.99,0.93,0.03,0.04,0.67
