puzzle_size,nAnts_alg4,threads_alg4,numcolonies_alg4,numacs_alg4,q0_alg4,rho_alg4,bve_alg4,timeout_alg4,success_rate_alg4,time_mean_alg4,time_std_alg4,iter_mean_alg4,with_comm_alg4,without_comm_alg4,cp_initial_mean_alg4,cp_ant_mean_alg4,cp_total_mean_alg4,acs_time_mean_alg4,dcm_aco_time_mean_alg4,coop_game_mean_alg4,pheromone_fusion_mean_alg4,public_path_mean_alg4,communication_time_mean_alg4,cp_percentage_alg4,acs_time_percentage_alg4,dcm_aco_time_percentage_alg4,coop_game_percentage_alg4,pheromone_fusion_percentage_alg4,public_path_percentage_alg4,communication_time_percentage_alg4
inst25x25_40_10,4,3,4,3,0.9,0.9,0.005,120.0,100.00,1.877497,1.107245,35.17,19,81,0.004066,1.436496,1.440562,N/A,0.435677,0.010503,0.001236,0.000369,0.001257,76.73,N/A,23.21,0.56,0.07,0.02,0.07
inst25x25_40_30,4,3,4,3,0.9,0.9,0.005,120.0,100.00,3.543308,1.827017,65.32,64,36,0.004000,2.614026,2.618027,N/A,0.918779,0.020205,0.001267,0.000741,0.006503,73.89,N/A,25.93,0.57,0.04,0.02,0.18
inst25x25_40_50,4,3,4,3,0.9,0.9,0.005,120.0,100.00,4.333527,2.409979,80.57,82,18,0.004055,3.143604,3.147659,N/A,1.172722,0.025307,0.001227,0.000863,0.013146,72.64,N/A,27.06,0.58,0.03,0.02,0.30
inst25x25_40_57,4,3,4,3,0.9,0.9,0.005,120.0,100.00,3.224870,1.574024,59.01,58,42,0.004023,2.400210,2.404233,N/A,0.815118,0.018100,0.001304,0.000626,0.005519,74.55,N/A,25.28,0.56,0.04,0.02,0.17
inst25x25_40_62,4,3,4,3,0.9,0.9,0.005,120.0,100.00,4.796546,2.744118,91.32,75,25,0.003968,3.420164,3.424132,N/A,1.352137,0.028740,0.001289,0.001021,0.020278,71.39,N/A,28.19,0.60,0.03,0.02,0.42
inst25x25_40_79,4,3,4,3,0.9,0.9,0.005,120.0,100.00,2.706084,1.682915,50.45,40,60,0.004027,2.026693,2.030720,N/A,0.672067,0.015413,0.001312,0.000527,0.003296,75.04,N/A,24.84,0.57,0.05,0.02,0.12
inst25x25_40_80,4,3,4,3,0.9,0.9,0.005,120.0,100.00,2.117852,1.046142,39.37,29,71,0.004017,1.617734,1.621750,N/A,0.493557,0.011980,0.001160,0.000415,0.002545,76.58,N/A,23.30,0.57,0.05,0.02,0.12
inst25x25_40_89,4,3,4,3,0.9,0.9,0.005,120.0,100.00,2.440255,1.325435,47.33,40,60,0.004170,1.838925,1.843095,N/A,0.594423,0.014414,0.001215,0.000507,0.002737,75.53,N/A,24.36,0.59,0.05,0.02,0.11
inst25x25_40_9,4,3,4,3,0.9,0.9,0.005,120.0,100.00,3.497011,2.036076,66.27,57,43,0.004256,2.579240,2.583495,N/A,0.903069,0.020971,0.001246,0.000749,0.010446,73.88,N/A,25.82,0.60,0.04,0.02,0.30
inst25x25_40_99,4,3,4,3,0.9,0.9,0.005,120.0,100.00,2.437685,1.575665,46.67,37,63,0.004151,1.830004,1.834155,N/A,0.600474,0.014222,0.001261,0.000499,0.003056,75.24,N/A,24.63,0.58,0.05,0.02,0.13
inst25x25_45_1,4,3,4,3,0.9,0.9,0.005,120.0,100.00,15.343220,17.404015,369.88,95,5,0.004413,7.424775,7.429188,N/A,7.314233,0.131745,0.001645,0.003757,0.599799,48.42,N/A,47.67,0.86,0.01,0.02,3.91
inst25x25_45_11,4,3,4,3,0.9,0.9,0.005,120.0,100.00,2.609034,1.910631,71.65,55,45,0.004570,1.912276,1.916846,N/A,0.675059,0.022279,0.001344,0.000683,0.017130,73.47,N/A,25.87,0.85,0.05,0.03,0.66
inst25x25_45_14,4,3,4,3,0.9,0.9,0.005,120.0,100.00,1.025015,0.623879,27.34,12,88,0.004522,0.771206,0.775728,N/A,0.247965,0.007914,0.001303,0.000259,0.001323,75.68,N/A,24.19,0.77,0.13,0.03,0.13
