puzzle_size,nAnts_alg4,threads_alg4,numcolonies_alg4,numacs_alg4,q0_alg4,rho_alg4,bve_alg4,timeout_alg4,success_rate_alg4,time_mean_alg4,time_std_alg4,iter_mean_alg4,with_comm_alg4,without_comm_alg4,cp_initial_mean_alg4,cp_ant_mean_alg4,cp_total_mean_alg4,acs_time_mean_alg4,dcm_aco_time_mean_alg4,coop_game_mean_alg4,pheromone_fusion_mean_alg4,public_path_mean_alg4,communication_time_mean_alg4,cp_percentage_alg4,acs_time_percentage_alg4,dcm_aco_time_percentage_alg4,coop_game_percentage_alg4,pheromone_fusion_percentage_alg4,public_path_percentage_alg4,communication_time_percentage_alg4
inst25x25_40_10,3,3,3,2,0.9,0.9,0.005,120.0,100.00,1.986067,1.193814,61.94,14,86,0.004415,1.518553,1.522968,N/A,0.461033,0.013769,0.001064,0.000576,0.002066,76.68,N/A,23.21,0.69,0.05,0.03,0.10
inst25x25_40_30,3,3,3,2,0.9,0.9,0.005,120.0,100.00,3.089376,1.846924,100.69,43,57,0.004094,2.298882,2.302976,N/A,0.780146,0.021447,0.000902,0.000942,0.006253,74.55,N/A,25.25,0.69,0.03,0.03,0.20
inst25x25_40_50,3,3,3,2,0.9,0.9,0.005,120.0,100.00,3.859041,1.964880,127.38,64,36,0.004148,2.824291,2.828438,N/A,1.023734,0.027190,0.000972,0.001210,0.006869,73.29,N/A,26.53,0.70,0.03,0.03,0.18
inst25x25_40_57,3,3,3,2,0.9,0.9,0.005,120.0,100.00,3.094936,1.995576,100.52,35,65,0.004084,2.308133,2.312217,N/A,0.775579,0.021296,0.000984,0.000948,0.007140,74.71,N/A,25.06,0.69,0.03,0.03,0.23
inst25x25_40_62,3,3,3,2,0.9,0.9,0.005,120.0,100.00,4.353465,2.772335,147.68,63,37,0.004119,3.121606,3.125725,N/A,1.215425,0.031499,0.000979,0.001401,0.012316,71.80,N/A,27.92,0.72,0.02,0.03,0.28
inst25x25_40_79,3,3,3,2,0.9,0.9,0.005,120.0,100.00,3.109953,1.985949,103.11,47,53,0.004106,2.303999,2.308105,N/A,0.795525,0.021799,0.000946,0.000977,0.006323,74.22,N/A,25.58,0.70,0.03,0.03,0.20
inst25x25_40_80,3,3,3,2,0.9,0.9,0.005,120.0,100.00,2.061977,1.120139,68.60,22,78,0.004104,1.578625,1.582728,N/A,0.477126,0.014339,0.000935,0.000598,0.002124,76.76,N/A,23.14,0.70,0.05,0.03,0.10
inst25x25_40_89,3,3,3,2,0.9,0.9,0.005,120.0,100.00,2.146666,1.204786,74.13,28,72,0.004216,1.637945,1.642161,N/A,0.502184,0.015536,0.000933,0.000680,0.002321,76.50,N/A,23.39,0.72,0.04,0.03,0.11
inst25x25_40_9,3,3,3,2,0.9,0.9,0.005,120.0,100.00,3.478186,2.373350,114.89,45,55,0.004267,2.546098,2.550366,N/A,0.920004,0.025078,0.001009,0.001081,0.007817,73.32,N/A,26.45,0.72,0.03,0.03,0.22
inst25x25_40_99,3,3,3,2,0.9,0.9,0.005,120.0,100.00,2.513599,1.657896,85.77,33,67,0.004198,1.896375,1.900573,N/A,0.608580,0.018037,0.000962,0.000769,0.004445,75.61,N/A,24.21,0.72,0.04,0.03,0.18
