puzzle_size,nAnts_alg4,threads_alg4,numcolonies_alg4,numacs_alg4,q0_alg4,rho_alg4,bve_alg4,timeout_alg4,success_rate_alg4,time_mean_alg4,time_std_alg4,iter_mean_alg4,with_comm_alg4,without_comm_alg4,cp_initial_mean_alg4,cp_ant_mean_alg4,cp_total_mean_alg4,acs_time_mean_alg4,dcm_aco_time_mean_alg4,coop_game_mean_alg4,pheromone_fusion_mean_alg4,public_path_mean_alg4,communication_time_mean_alg4,cp_percentage_alg4,acs_time_percentage_alg4,dcm_aco_time_percentage_alg4,coop_game_percentage_alg4,pheromone_fusion_percentage_alg4,public_path_percentage_alg4,communication_time_percentage_alg4
inst25x25_40_10,3,3,3,2,0.9,0.9,0.005,120.0,100.00,1.639363,1.180776,55.00,13,87,0.004112,1.269506,1.273619,N/A,0.363339,0.000938,0.000042,0.001143,0.002405,77.69,N/A,22.16,0.06,0.00,0.07,0.15
inst25x25_40_30,3,3,3,2,0.9,0.9,0.005,120.0,100.00,3.252526,1.908880,106.31,49,51,0.004143,2.445621,2.449764,N/A,0.797136,0.001875,0.000043,0.002370,0.005626,75.32,N/A,24.51,0.06,0.00,0.07,0.17
inst25x25_40_50,3,3,3,2,0.9,0.9,0.005,120.0,100.00,4.175728,2.918262,137.38,58,42,0.004187,3.058075,3.062262,N/A,1.106040,0.002450,0.000070,0.003006,0.007426,73.33,N/A,26.49,0.06,0.00,0.07,0.18
inst25x25_40_57,3,3,3,2,0.9,0.9,0.005,120.0,100.00,2.856516,1.861634,92.34,37,63,0.004129,2.161235,2.165363,N/A,0.687142,0.001608,0.000033,0.002060,0.004011,75.80,N/A,24.06,0.06,0.00,0.07,0.14
inst25x25_40_62,3,3,3,2,0.9,0.9,0.005,120.0,100.00,4.122484,2.719331,139.33,59,41,0.004116,3.015011,3.019127,N/A,1.090999,0.002486,0.000055,0.003038,0.012358,73.24,N/A,26.46,0.06,0.00,0.07,0.30
inst25x25_40_79,3,3,3,2,0.9,0.9,0.005,120.0,100.00,2.532083,1.721754,83.67,30,70,0.004116,1.936546,1.940662,N/A,0.586324,0.001426,0.000045,0.001851,0.005097,76.64,N/A,23.16,0.06,0.00,0.07,0.20
inst25x25_40_80,3,3,3,2,0.9,0.9,0.005,120.0,100.00,1.688560,1.116004,56.30,10,90,0.004058,1.314379,1.318437,N/A,0.369037,0.000982,0.000040,0.001179,0.001087,78.08,N/A,21.86,0.06,0.00,0.07,0.06
inst25x25_40_89,3,3,3,2,0.9,0.9,0.005,120.0,100.00,1.957054,1.325961,67.62,18,82,0.004266,1.513815,1.518081,N/A,0.435385,0.001171,0.000037,0.001434,0.003588,77.57,N/A,22.25,0.06,0.00,0.07,0.18
inst25x25_40_9,3,3,3,2,0.9,0.9,0.005,120.0,100.00,2.795412,1.666039,98.67,41,59,0.004007,2.125160,2.129167,N/A,0.661164,0.001681,0.000057,0.002066,0.005080,76.17,N/A,23.65,0.06,0.00,0.07,0.18
inst25x25_40_99,3,3,3,2,0.9,0.9,0.005,120.0,100.00,2.346173,1.645568,79.81,27,73,0.004232,1.799067,1.803299,N/A,0.536680,0.001378,0.000041,0.001743,0.006194,76.86,N/A,22.87,0.06,0.00,0.07,0.26
inst25x25_45_1,3,3,3,2,0.9,0.9,0.005,120.0,99.00,16.681830,20.521171,758.95,91,8,0.004680,7.419839,7.424518,N/A,8.977414,0.014343,0.000817,0.016649,0.279897,44.51,N/A,53.82,0.09,0.00,0.10,1.68
inst25x25_45_11,3,3,3,2,0.9,0.9,0.005,120.0,100.00,2.422320,2.180990,116.37,41,59,0.004730,1.788073,1.792804,N/A,0.612898,0.002069,0.000146,0.002413,0.016619,74.01,N/A,25.30,0.09,0.01,0.10,0.69
inst25x25_45_14,3,3,3,2,0.9,0.9,0.005,120.0,100.00,0.886069,0.626483,41.40,6,94,0.004683,0.680116,0.684799,N/A,0.200580,0.000731,0.000091,0.000837,0.000690,77.29,N/A,22.64,0.08,0.01,0.09,0.08
inst25x25_45_15,3,3,3,2,0.9,0.9,0.005,120.0,100.00,4.372500,3.975485,203.93,68,32,0.004785,3.052811,3.057596,N/A,1.286024,0.003600,0.000203,0.004326,0.028880,69.93,N/A,29.41,0.08,0.00,0.10,0.66
