puzzle_size,nAnts_alg0,nAnts_alg2,nAnts_alg3,nAnts_alg4,threads_alg0,threads_alg2,threads_alg3,threads_alg4,numcolonies_alg0,numcolonies_alg2,numcolonies_alg3,numcolonies_alg4,numacs_alg0,numacs_alg2,numacs_alg3,numacs_alg4,q0_alg0,q0_alg2,q0_alg3,q0_alg4,rho_alg0,rho_alg2,rho_alg3,rho_alg4,bve_alg0,bve_alg2,bve_alg3,bve_alg4,timeout_alg0,timeout_alg2,timeout_alg3,timeout_alg4,success_rate_alg0,success_rate_alg2,success_rate_alg3,success_rate_alg4,time_mean_alg0,time_mean_alg2,time_mean_alg3,time_mean_alg4,time_std_alg0,time_std_alg2,time_std_alg3,time_std_alg4,iter_mean_alg0,iter_mean_alg2,iter_mean_alg3,iter_mean_alg4,with_comm_alg0,with_comm_alg2,with_comm_alg3,with_comm_alg4,without_comm_alg0,without_comm_alg2,without_comm_alg3,without_comm_alg4,cp_initial_mean_alg0,cp_initial_mean_alg2,cp_initial_mean_alg3,cp_initial_mean_alg4,cp_ant_mean_alg0,cp_ant_mean_alg2,cp_ant_mean_alg3,cp_ant_mean_alg4,cp_total_mean_alg0,cp_total_mean_alg2,cp_total_mean_alg3,cp_total_mean_alg4,acs_time_mean_alg0,acs_time_mean_alg2,acs_time_mean_alg3,acs_time_mean_alg4,dcm_aco_time_mean_alg0,dcm_aco_time_mean_alg2,dcm_aco_time_mean_alg3,dcm_aco_time_mean_alg4,coop_game_mean_alg0,coop_game_mean_alg2,coop_game_mean_alg3,coop_game_mean_alg4,pheromone_fusion_mean_alg0,pheromone_fusion_mean_alg2,pheromone_fusion_mean_alg3,pheromone_fusion_mean_alg4,public_path_mean_alg0,public_path_mean_alg2,public_path_mean_alg3,public_path_mean_alg4,communication_time_mean_alg0,communication_time_mean_alg2,communication_time_mean_alg3,communication_time_mean_alg4,cp_percentage_alg0,cp_percentage_alg2,cp_percentage_alg3,cp_percentage_alg4,acs_time_percentage_alg0,acs_time_percentage_alg2,acs_time_percentage_alg3,acs_time_percentage_alg4,dcm_aco_time_percentage_alg0,dcm_aco_time_percentage_alg2,dcm_aco_time_percentage_alg3,dcm_aco_time_percentage_alg4,coop_game_percentage_alg0,coop_game_percentage_alg2,coop_game_percentage_alg3,coop_game_percentage_alg4,pheromone_fusion_percentage_alg0,pheromone_fusion_percentage_alg2,pheromone_fusion_percentage_alg3,pheromone_fusion_percentage_alg4,public_path_percentage_alg0,public_path_percentage_alg2,public_path_percentage_alg3,public_path_percentage_alg4,communication_time_percentage_alg0,communication_time_percentage_alg2,communication_time_percentage_alg3,communication_time_percentage_alg4
2020_00004,10,10,3,3,N/A,3,N/A,3,N/A,N/A,3,3,N/A,N/A,2,2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.005,0.005,0.005,0.005,5.0,5.0,5.0,5.0,100.00,100.00,100.00,100.00,0.086634,0.032566,0.044910,0.019119,0.162398,0.025787,0.034645,0.015713,92.28,31.21,51.02,19.98,N/A,2,N/A,0,N/A,98,N/A,100,0.000087,0.000094,0.000087,0.000090,0.053136,0.018765,0.026942,0.010490,0.053224,0.018859,0.027030,0.010580,0.033411,0.013647,N/A,N/A,N/A,N/A,0.017880,0.008539,N/A,N/A,0.000547,0.000208,N/A,N/A,0.000040,0.000032,N/A,N/A,0.000111,0.000034,N/A,0.000000,N/A,0.000000,61.43,57.91,60.19,55.34,38.57,41.91,N/A,N/A,N/A,N/A,39.81,44.66,N/A,N/A,1.22,1.09,N/A,N/A,0.09,0.17,N/A,N/A,0.25,0.18,N/A,0.00,N/A,0.00
2020_00021,10,10,3,3,N/A,3,N/A,3,N/A,N/A,3,3,N/A,N/A,2,2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.005,0.005,0.005,0.005,5.0,5.0,5.0,5.0,100.00,100.00,100.00,100.00,0.090689,0.042655,0.051552,0.020541,0.073027,0.038335,0.047923,0.019695,101.88,41.79,60.95,21.81,N/A,8,N/A,2,N/A,92,N/A,98,0.000084,0.000094,0.000085,0.000089,0.055410,0.024719,0.030746,0.011266,0.055495,0.024812,0.030831,0.011354,0.035194,0.017730,N/A,N/A,N/A,N/A,0.020720,0.009152,N/A,N/A,0.000647,0.000232,N/A,N/A,0.000045,0.000036,N/A,N/A,0.000123,0.000038,N/A,0.000000,N/A,0.000000,61.19,58.17,59.81,55.28,38.81,41.57,N/A,N/A,N/A,N/A,40.19,44.55,N/A,N/A,1.25,1.13,N/A,N/A,0.09,0.18,N/A,N/A,0.24,0.18,N/A,0.00,N/A,0.00
2020_00041,10,10,3,3,N/A,3,N/A,3,N/A,N/A,3,3,N/A,N/A,2,2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.005,0.005,0.005,0.005,5.0,5.0,5.0,5.0,100.00,100.00,100.00,100.00,0.092847,0.041580,0.051557,0.014751,0.074941,0.039976,0.052403,0.016889,101.16,39.20,59.26,14.02,N/A,4,N/A,0,N/A,96,N/A,100,0.000094,0.000097,0.000093,0.000103,0.057089,0.024236,0.030764,0.007864,0.057183,0.024333,0.030857,0.007967,0.035664,0.017216,N/A,N/A,N/A,N/A,0.020700,0.006784,N/A,N/A,0.000649,0.000158,N/A,N/A,0.000041,0.000034,N/A,N/A,0.000139,0.000029,N/A,0.000000,N/A,0.000000,61.59,58.52,59.85,54.01,38.41,41.40,N/A,N/A,N/A,N/A,40.15,45.99,N/A,N/A,1.26,1.07,N/A,N/A,0.08,0.23,N/A,N/A,0.27,0.19,N/A,0.00,N/A,0.00
2020_00049,10,10,3,3,N/A,3,N/A,3,N/A,N/A,3,3,N/A,N/A,2,2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.005,0.005,0.005,0.005,5.0,5.0,5.0,5.0,100.00,100.00,100.00,100.00,0.110374,0.049421,0.112823,0.047302,0.112295,0.045161,0.119911,0.050303,112.31,42.62,124.69,46.25,N/A,8,N/A,15,N/A,92,N/A,85,0.000090,0.000097,0.000088,0.000093,0.068161,0.028923,0.067936,0.026962,0.068251,0.029020,0.068024,0.027055,0.042122,0.020145,N/A,N/A,N/A,N/A,0.044800,0.019805,N/A,N/A,0.001349,0.000538,N/A,N/A,0.000040,0.000037,N/A,N/A,0.000290,0.000101,N/A,0.000000,N/A,0.000000,61.84,58.72,60.29,57.20,38.16,40.76,N/A,N/A,N/A,N/A,39.71,41.87,N/A,N/A,1.20,1.14,N/A,N/A,0.04,0.08,N/A,N/A,0.26,0.21,N/A,0.00,N/A,0.00
2020_00054,10,10,3,3,N/A,3,N/A,3,N/A,N/A,3,3,N/A,N/A,2,2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.005,0.005,0.005,0.005,5.0,5.0,5.0,5.0,100.00,100.00,100.00,100.00,0.085152,0.038023,0.071350,0.030501,0.071406,0.027374,0.060582,0.023868,93.59,38.02,84.57,33.13,N/A,2,N/A,2,N/A,98,N/A,98,0.000094,0.000099,0.000095,0.000098,0.051862,0.021884,0.042398,0.017022,0.051956,0.021983,0.042493,0.017120,0.033195,0.016016,N/A,N/A,N/A,N/A,0.028858,0.013362,N/A,N/A,0.000905,0.000360,N/A,N/A,0.000037,0.000032,N/A,N/A,0.000194,0.000065,N/A,0.000000,N/A,0.000000,61.02,57.81,59.56,56.13,38.98,42.12,N/A,N/A,N/A,N/A,40.45,43.81,N/A,N/A,1.27,1.18,N/A,N/A,0.05,0.11,N/A,N/A,0.27,0.21,N/A,0.00,N/A,0.00
2020_00057,10,10,3,3,N/A,3,N/A,3,N/A,N/A,3,3,N/A,N/A,2,2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.005,0.005,0.005,0.005,5.0,5.0,5.0,5.0,100.00,100.00,100.00,100.00,0.064447,0.019617,0.034972,0.014880,0.233931,0.015418,0.030936,0.011827,74.43,19.74,41.64,15.71,N/A,0,N/A,0,N/A,100,N/A,100,0.000088,0.000091,0.000089,0.000091,0.040398,0.011015,0.020937,0.008016,0.040486,0.011106,0.021025,0.008107,0.023960,0.008511,N/A,N/A,N/A,N/A,0.013947,0.006773,N/A,N/A,0.000427,0.000157,N/A,N/A,0.000038,0.000030,N/A,N/A,0.000084,0.000026,N/A,0.000000,N/A,0.000000,62.82,56.62,60.12,54.48,37.18,43.39,N/A,N/A,N/A,N/A,39.88,45.52,N/A,N/A,1.22,1.06,N/A,N/A,0.11,0.20,N/A,N/A,0.24,0.17,N/A,0.00,N/A,0.00
2020_00081,10,10,3,3,N/A,3,N/A,3,N/A,N/A,3,3,N/A,N/A,2,2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.005,0.005,0.005,0.005,5.0,5.0,5.0,5.0,100.00,100.00,100.00,99.00,0.127056,0.060898,0.144726,0.061896,0.105298,0.051486,0.128507,0.070795,132.93,57.76,166.79,59.12,N/A,15,N/A,15,N/A,85,N/A,84,0.000095,0.000101,0.000092,0.000097,0.077720,0.035342,0.086285,0.035229,0.077815,0.035443,0.086376,0.035326,0.049241,0.024848,N/A,N/A,N/A,N/A,0.058350,0.026030,N/A,N/A,0.001789,0.000763,N/A,N/A,0.000037,0.000037,N/A,N/A,0.000391,0.000150,N/A,0.000000,N/A,0.000000,61.24,58.20,59.68,57.07,38.76,40.80,N/A,N/A,N/A,N/A,40.32,42.05,N/A,N/A,1.24,1.23,N/A,N/A,0.03,0.06,N/A,N/A,0.27,0.24,N/A,0.00,N/A,0.00
2020_00095,10,10,3,3,N/A,3,N/A,3,N/A,N/A,3,3,N/A,N/A,2,2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.005,0.005,0.005,0.005,5.0,5.0,5.0,5.0,100.00,100.00,100.00,100.00,0.091160,0.047405,0.081354,0.027477,0.084280,0.039239,0.069468,0.026473,97.94,48.20,101.33,31.76,N/A,12,N/A,4,N/A,88,N/A,96,0.000104,0.000104,0.000096,0.000101,0.055629,0.027305,0.048157,0.015180,0.055733,0.027409,0.048253,0.015282,0.035427,0.019665,N/A,N/A,N/A,N/A,0.033101,0.012064,N/A,N/A,0.001101,0.000338,N/A,N/A,0.000039,0.000035,N/A,N/A,0.000232,0.000061,N/A,0.000000,N/A,0.000000,61.14,57.82,59.31,55.62,38.86,41.48,N/A,N/A,N/A,N/A,40.69,43.91,N/A,N/A,1.35,1.23,N/A,N/A,0.05,0.13,N/A,N/A,0.29,0.22,N/A,0.00,N/A,0.00
2020_00153,10,10,3,3,N/A,3,N/A,3,N/A,N/A,3,3,N/A,N/A,2,2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.005,0.005,0.005,0.005,5.0,5.0,5.0,5.0,100.00,100.00,100.00,100.00,0.102955,0.058871,0.119122,0.040204,0.085789,0.056062,0.118797,0.033970,111.35,57.79,135.79,42.17,N/A,14,N/A,9,N/A,86,N/A,91,0.000096,0.000098,0.000102,0.000101,0.062777,0.034216,0.071015,0.022683,0.062874,0.034314,0.071117,0.022784,0.040082,0.024211,N/A,N/A,N/A,N/A,0.048005,0.017256,N/A,N/A,0.001499,0.000472,N/A,N/A,0.000036,0.000032,N/A,N/A,0.000328,0.000091,N/A,0.000000,N/A,0.000000,61.07,58.29,59.70,56.67,38.93,41.13,N/A,N/A,N/A,N/A,40.30,42.92,N/A,N/A,1.26,1.17,N/A,N/A,0.03,0.08,N/A,N/A,0.28,0.23,N/A,0.00,N/A,0.00
2020_00155,10,10,3,3,N/A,3,N/A,3,N/A,N/A,3,3,N/A,N/A,2,2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.005,0.005,0.005,0.005,5.0,5.0,5.0,5.0,100.00,100.00,100.00,100.00,0.093772,0.038078,0.080684,0.041502,0.095592,0.033868,0.085177,0.039461,92.39,33.25,82.35,34.17,N/A,3,N/A,4,N/A,97,N/A,96,0.000091,0.000098,0.000097,0.000106,0.057763,0.022072,0.048642,0.023650,0.057853,0.022170,0.048739,0.023756,0.035918,0.015767,N/A,N/A,N/A,N/A,0.031945,0.017610,N/A,N/A,0.000913,0.000453,N/A,N/A,0.000040,0.000039,N/A,N/A,0.000196,0.000085,N/A,0.000000,N/A,0.000000,61.70,58.22,60.41,57.24,38.30,41.41,N/A,N/A,N/A,N/A,39.59,42.43,N/A,N/A,1.13,1.09,N/A,N/A,0.05,0.09,N/A,N/A,0.24,0.21,N/A,0.00,N/A,0.00
