alg,puzzle_size,f%,ants,subcolonies,q0,rho,bve,timeout,success_rate,time_mean,time_std,iter_mean,with_comm,without_comm,cp_initial_mean,cp_ant_mean,ant_guessing_mean,coop_game_mean,pheromone_fusion_mean,public_path_mean,communication_time_mean,cp_total_mean,cp_percentage
3,16x16_02203,,3,4,0.9,0.9,0.005,20.0,100.0,0.03889,0.04224,10.24,,,0.000854,0.025775,7.6e-05,0.000531,0.0,4.2e-05,,0.026629,68.47
3,16x16_02205,,3,4,0.9,0.9,0.005,20.0,100.0,0.11974,0.33703,29.16,,,0.000854,0.083806,0.000235,0.001491,0.0,9.5e-05,,0.08466,70.7
3,16x16_02211,,3,4,0.9,0.9,0.005,20.0,100.0,0.03601,0.0628,10.91,,,0.000962,0.023545,6.9e-05,0.000576,0.0,4.3e-05,,0.024507,68.06
3,16x16_02214,,3,4,0.9,0.9,0.005,20.0,100.0,0.0441,0.0561,12.69,,,0.000987,0.029111,9.3e-05,0.00068,0.0,4.5e-05,,0.030098,68.25
3,16x16_02223,,3,4,0.9,0.9,0.005,20.0,100.0,0.04571,0.07766,11.08,,,0.000888,0.030533,7.6e-05,0.000606,0.0,4.7e-05,,0.031421000000000004,68.74
3,16x16_02228,,3,4,0.9,0.9,0.005,20.0,100.0,0.40423,0.66532,99.29,,,0.000827,0.272001,0.000763,0.005102,0.0,0.000362,,0.272828,67.49
3,16x16_02230,,3,4,0.9,0.9,0.005,20.0,100.0,0.04516,0.06055,11.5,,,0.000856,0.030343,7.4e-05,0.00061,0.0,4.4e-05,,0.031198999999999998,69.09
3,16x16_02233,,3,4,0.9,0.9,0.005,20.0,100.0,0.12852,0.26142,32.07,,,0.000817,0.088007,0.000214,0.001663,0.0,0.000119,,0.088824,69.11
3,16x16_02234,,3,4,0.9,0.9,0.005,20.0,100.0,0.08828,0.1192,23.8,,,0.000838,0.059174,0.000174,0.001252,0.0,7.7e-05,,0.060011999999999996,67.98
3,16x16_02237,,3,4,0.9,0.9,0.005,20.0,100.0,0.20151,0.31606,43.36,,,0.000754,0.14036,0.000338,0.00227,0.0,0.000144,,0.14111400000000002,70.03
3,16x16_02251,,3,4,0.9,0.9,0.005,20.0,100.0,0.02605,0.02017,6.88,,,0.000879,0.016948,4.3e-05,0.000366,0.0,3.1e-05,,0.017827000000000003,68.43
3,16x16_02256,,3,4,0.9,0.9,0.005,20.0,100.0,0.27828,0.43755,62.96,,,0.000801,0.194396,0.00056,0.003287,0.0,0.000233,,0.195197,70.14
3,16x16_02265,,3,4,0.9,0.9,0.005,20.0,100.0,0.01431,0.00898,3.18,,,0.000885,0.009184,2.9e-05,0.000171,0.0,1.7e-05,,0.010069,70.36
