puzzle_size,nAnts_alg0,nAnts_alg2,nAnts_alg3,nAnts_alg4,threads_alg0,threads_alg2,threads_alg3,threads_alg4,numcolonies_alg0,numcolonies_alg2,numcolonies_alg3,numcolonies_alg4,numacs_alg0,numacs_alg2,numacs_alg3,numacs_alg4,q0_alg0,q0_alg2,q0_alg3,q0_alg4,rho_alg0,rho_alg2,rho_alg3,rho_alg4,bve_alg0,bve_alg2,bve_alg3,bve_alg4,timeout_alg0,timeout_alg2,timeout_alg3,timeout_alg4,success_rate_alg0,success_rate_alg2,success_rate_alg3,success_rate_alg4,time_mean_alg0,time_mean_alg2,time_mean_alg3,time_mean_alg4,time_std_alg0,time_std_alg2,time_std_alg3,time_std_alg4,iter_mean_alg0,iter_mean_alg2,iter_mean_alg3,iter_mean_alg4,with_comm_alg0,with_comm_alg2,with_comm_alg3,with_comm_alg4,without_comm_alg0,without_comm_alg2,without_comm_alg3,without_comm_alg4,cp_initial_mean_alg0,cp_initial_mean_alg2,cp_initial_mean_alg3,cp_initial_mean_alg4,cp_ant_mean_alg0,cp_ant_mean_alg2,cp_ant_mean_alg3,cp_ant_mean_alg4,cp_total_mean_alg0,cp_total_mean_alg2,cp_total_mean_alg3,cp_total_mean_alg4,acs_time_mean_alg0,acs_time_mean_alg2,acs_time_mean_alg3,acs_time_mean_alg4,dcm_aco_time_mean_alg0,dcm_aco_time_mean_alg2,dcm_aco_time_mean_alg3,dcm_aco_time_mean_alg4,coop_game_mean_alg0,coop_game_mean_alg2,coop_game_mean_alg3,coop_game_mean_alg4,pheromone_fusion_mean_alg0,pheromone_fusion_mean_alg2,pheromone_fusion_mean_alg3,pheromone_fusion_mean_alg4,public_path_mean_alg0,public_path_mean_alg2,public_path_mean_alg3,public_path_mean_alg4,communication_time_mean_alg0,communication_time_mean_alg2,communication_time_mean_alg3,communication_time_mean_alg4,cp_percentage_alg0,cp_percentage_alg2,cp_percentage_alg3,cp_percentage_alg4,acs_time_percentage_alg0,acs_time_percentage_alg2,acs_time_percentage_alg3,acs_time_percentage_alg4,dcm_aco_time_percentage_alg0,dcm_aco_time_percentage_alg2,dcm_aco_time_percentage_alg3,dcm_aco_time_percentage_alg4,coop_game_percentage_alg0,coop_game_percentage_alg2,coop_game_percentage_alg3,coop_game_percentage_alg4,pheromone_fusion_percentage_alg0,pheromone_fusion_percentage_alg2,pheromone_fusion_percentage_alg3,pheromone_fusion_percentage_alg4,public_path_percentage_alg0,public_path_percentage_alg2,public_path_percentage_alg3,public_path_percentage_alg4,communication_time_percentage_alg0,communication_time_percentage_alg2,communication_time_percentage_alg3,communication_time_percentage_alg4
2020_00004,10,10,3,3,N/A,3,N/A,3,N/A,N/A,3,3,N/A,N/A,2,2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.005,0.005,0.005,0.005,5.0,5.0,5.0,5.0,99.00,100.00,100.00,100.00,0.061879,0.031554,0.036661,0.017608,0.053412,0.022869,0.030947,0.012851,66.72,30.14,42.34,16.44,N/A,1,N/A,0,N/A,99,N/A,100,0.000084,0.000091,0.000084,0.000096,0.038041,0.018179,0.022002,0.009502,0.038125,0.018270,0.022086,0.009599,0.023755,0.013271,N/A,N/A,N/A,N/A,0.014575,0.008009,N/A,N/A,0.000454,0.000196,N/A,N/A,0.000043,0.000036,N/A,N/A,0.000092,0.000032,N/A,0.000014,N/A,0.000000,61.61,57.90,60.24,54.51,38.39,42.06,N/A,N/A,N/A,N/A,39.76,45.48,N/A,N/A,1.24,1.11,N/A,N/A,0.12,0.21,N/A,N/A,0.25,0.18,N/A,0.04,N/A,0.00
2020_00021,10,10,3,3,N/A,3,N/A,3,N/A,N/A,3,3,N/A,N/A,2,2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.005,0.005,0.005,0.005,5.0,5.0,5.0,5.0,100.00,100.00,100.00,100.00,0.078430,0.040312,0.042670,0.022245,0.060923,0.034262,0.038767,0.019709,89.16,39.09,52.92,23.15,N/A,6,N/A,1,N/A,94,N/A,99,0.000082,0.000090,0.000086,0.000091,0.047976,0.023159,0.025417,0.012194,0.048058,0.023249,0.025504,0.012286,0.030372,0.016818,N/A,N/A,N/A,N/A,0.017166,0.009959,N/A,N/A,0.000545,0.000255,N/A,N/A,0.000040,0.000040,N/A,N/A,0.000106,0.000039,N/A,0.000244,N/A,0.000000,61.28,57.67,59.77,55.23,38.72,41.72,N/A,N/A,N/A,N/A,40.23,44.77,N/A,N/A,1.28,1.15,N/A,N/A,0.09,0.18,N/A,N/A,0.25,0.18,N/A,0.61,N/A,0.00
2020_00041,10,10,3,3,N/A,3,N/A,3,N/A,N/A,3,3,N/A,N/A,2,2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.005,0.005,0.005,0.005,5.0,5.0,5.0,5.0,100.00,100.00,100.00,100.00,0.083964,0.039407,0.067002,0.017102,0.075098,0.032836,0.068668,0.020909,95.25,37.81,83.59,17.53,N/A,2,N/A,0,N/A,98,N/A,100,0.000085,0.000096,0.000087,0.000093,0.051689,0.022906,0.040169,0.009253,0.051774,0.023002,0.040256,0.009347,0.032190,0.016379,N/A,N/A,N/A,N/A,0.026747,0.007756,N/A,N/A,0.000858,0.000190,N/A,N/A,0.000037,0.000032,N/A,N/A,0.000176,0.000034,N/A,0.000025,N/A,0.000000,61.66,58.37,60.08,54.65,38.34,41.56,N/A,N/A,N/A,N/A,39.92,45.35,N/A,N/A,1.28,1.11,N/A,N/A,0.06,0.19,N/A,N/A,0.26,0.20,N/A,0.06,N/A,0.00
2020_00049,10,10,3,3,N/A,3,N/A,3,N/A,N/A,3,3,N/A,N/A,2,2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.005,0.005,0.005,0.005,5.0,5.0,5.0,5.0,100.00,100.00,100.00,100.00,0.112403,0.060668,0.121713,0.049171,0.126066,0.053435,0.138313,0.042066,117.99,48.44,140.81,45.06,N/A,11,N/A,9,N/A,89,N/A,91,0.000085,0.000103,0.000086,0.000099,0.069372,0.035910,0.073208,0.028230,0.069457,0.036013,0.073293,0.028329,0.042946,0.024348,N/A,N/A,N/A,N/A,0.048420,0.020655,N/A,N/A,0.001504,0.000578,N/A,N/A,0.000040,0.000038,N/A,N/A,0.000320,0.000105,N/A,0.000308,N/A,0.000188,61.79,59.36,60.22,57.61,38.21,40.13,N/A,N/A,N/A,N/A,39.78,42.01,N/A,N/A,1.24,1.18,N/A,N/A,0.03,0.08,N/A,N/A,0.26,0.21,N/A,0.51,N/A,0.38
2020_00054,10,10,3,3,N/A,3,N/A,3,N/A,N/A,3,3,N/A,N/A,2,2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.005,0.005,0.005,0.005,5.0,5.0,5.0,5.0,100.00,100.00,100.00,100.00,0.068815,0.048040,0.068703,0.036369,0.062492,0.035168,0.057465,0.029211,76.87,46.76,84.68,38.84,N/A,8,N/A,2,N/A,92,N/A,98,0.000091,0.000100,0.000090,0.000095,0.041962,0.027763,0.040823,0.020439,0.042053,0.027863,0.040912,0.020534,0.026762,0.020062,N/A,N/A,N/A,N/A,0.027790,0.015835,N/A,N/A,0.000881,0.000436,N/A,N/A,0.000039,0.000036,N/A,N/A,0.000187,0.000080,N/A,0.000115,N/A,0.000000,61.11,58.00,59.55,56.46,38.89,41.76,N/A,N/A,N/A,N/A,40.45,43.54,N/A,N/A,1.28,1.20,N/A,N/A,0.06,0.10,N/A,N/A,0.27,0.22,N/A,0.24,N/A,0.00
2020_00057,10,10,3,3,N/A,3,N/A,3,N/A,N/A,3,3,N/A,N/A,2,2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.005,0.005,0.005,0.005,5.0,5.0,5.0,5.0,100.00,100.00,100.00,100.00,0.059462,0.024509,0.034893,0.017592,0.096398,0.018219,0.029365,0.014775,68.66,23.56,40.73,17.70,N/A,0,N/A,0,N/A,100,N/A,100,0.000085,0.000093,0.000086,0.000093,0.036241,0.013914,0.020882,0.009535,0.036326,0.014007,0.020968,0.009627,0.023136,0.010502,N/A,N/A,N/A,N/A,0.013925,0.007965,N/A,N/A,0.000431,0.000195,N/A,N/A,0.000042,0.000035,N/A,N/A,0.000088,0.000033,N/A,0.000000,N/A,0.000000,61.09,57.15,60.09,54.73,38.91,42.85,N/A,N/A,N/A,N/A,39.91,45.28,N/A,N/A,1.24,1.11,N/A,N/A,0.12,0.20,N/A,N/A,0.25,0.19,N/A,0.00,N/A,0.00
2020_00081,10,10,3,3,N/A,3,N/A,3,N/A,N/A,3,3,N/A,N/A,2,2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.005,0.005,0.005,0.005,5.0,5.0,5.0,5.0,100.00,100.00,100.00,100.00,0.126103,0.056956,0.128017,0.050584,0.129635,0.053295,0.126876,0.039648,139.77,53.41,156.28,50.34,N/A,17,N/A,14,N/A,83,N/A,86,0.000088,0.000095,0.000087,0.000099,0.077062,0.032974,0.076251,0.028693,0.077150,0.033069,0.076338,0.028792,0.048952,0.023407,N/A,N/A,N/A,N/A,0.051679,0.021642,N/A,N/A,0.001599,0.000601,N/A,N/A,0.000036,0.000036,N/A,N/A,0.000342,0.000117,N/A,0.000480,N/A,0.000150,61.18,58.06,59.63,56.92,38.82,41.10,N/A,N/A,N/A,N/A,40.37,42.78,N/A,N/A,1.25,1.19,N/A,N/A,0.03,0.07,N/A,N/A,0.27,0.23,N/A,0.84,N/A,0.30
2020_00095,10,10,3,3,N/A,3,N/A,3,N/A,N/A,3,3,N/A,N/A,2,2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.005,0.005,0.005,0.005,5.0,5.0,5.0,5.0,100.00,100.00,100.00,100.00,0.088906,0.048075,0.073022,0.039050,0.079653,0.040145,0.064778,0.034030,108.65,44.43,84.57,35.54,N/A,6,N/A,5,N/A,94,N/A,95,0.000093,0.000107,0.000109,0.000122,0.054158,0.027443,0.043326,0.021829,0.054251,0.027550,0.043435,0.021951,0.034656,0.020367,N/A,N/A,N/A,N/A,0.029587,0.017065,N/A,N/A,0.001001,0.000519,N/A,N/A,0.000045,0.000046,N/A,N/A,0.000219,0.000095,N/A,0.000159,N/A,0.000034,61.02,57.31,59.48,56.21,38.98,42.37,N/A,N/A,N/A,N/A,40.52,43.70,N/A,N/A,1.37,1.33,N/A,N/A,0.06,0.12,N/A,N/A,0.30,0.24,N/A,0.33,N/A,0.09
2020_00153,10,10,3,3,N/A,3,N/A,3,N/A,N/A,3,3,N/A,N/A,2,2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.005,0.005,0.005,0.005,5.0,5.0,5.0,5.0,100.00,100.00,100.00,100.00,0.164546,0.082692,0.091400,0.050425,0.162370,0.084923,0.082440,0.045192,162.87,69.49,100.07,45.94,N/A,17,N/A,11,N/A,83,N/A,89,0.000106,0.000116,0.000103,0.000113,0.100376,0.048152,0.054361,0.028451,0.100482,0.048268,0.054465,0.028565,0.064063,0.033616,N/A,N/A,N/A,N/A,0.036936,0.021505,N/A,N/A,0.001171,0.000613,N/A,N/A,0.000040,0.000039,N/A,N/A,0.000256,0.000118,N/A,0.000808,N/A,0.000355,61.07,58.37,59.59,56.65,38.93,40.65,N/A,N/A,N/A,N/A,40.41,42.65,N/A,N/A,1.28,1.21,N/A,N/A,0.04,0.08,N/A,N/A,0.28,0.23,N/A,0.98,N/A,0.70
2020_00155,10,10,3,3,N/A,3,N/A,3,N/A,N/A,3,3,N/A,N/A,2,2,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.005,0.005,0.005,0.005,5.0,5.0,5.0,5.0,100.00,100.00,100.00,100.00,0.098136,0.049362,0.084459,0.036733,0.096654,0.039306,0.078688,0.038143,90.30,38.36,85.44,30.10,N/A,3,N/A,7,N/A,97,N/A,93,0.000099,0.000107,0.000097,0.000103,0.060473,0.028884,0.050887,0.020692,0.060572,0.028991,0.050984,0.020795,0.037564,0.020370,N/A,N/A,N/A,N/A,0.033474,0.015661,N/A,N/A,0.000959,0.000393,N/A,N/A,0.000044,0.000041,N/A,N/A,0.000212,0.000073,N/A,0.000000,N/A,0.000276,61.72,58.73,60.37,56.61,38.28,41.27,N/A,N/A,N/A,N/A,39.63,42.64,N/A,N/A,1.14,1.07,N/A,N/A,0.05,0.11,N/A,N/A,0.25,0.20,N/A,0.00,N/A,0.75
